train step=1260 loss=6.1882 avg_loss=6.5873 acc1=4.69
train step=1280 loss=6.1541 avg_loss=6.5800 acc1=4.69
train step=1300 loss=6.1716 avg_loss=6.5731 acc1=3.12
train step=1320 loss=6.0330 avg_loss=6.5661 acc1=1.56
train step=1340 loss=6.1581 avg_loss=6.5592 acc1=4.69
train step=1360 loss=6.1743 avg_loss=6.5521 acc1=6.25
train step=1380 loss=6.1506 avg_loss=6.5450 acc1=3.12
train step=1400 loss=6.0502 avg_loss=6.5375 acc1=3.12
train step=1420 loss=6.0086 avg_loss=6.5305 acc1=7.81
train step=1440 loss=5.9567 avg_loss=6.5232 acc1=3.12
train step=1460 loss=5.8887 avg_loss=6.5164 acc1=7.81
train step=1480 loss=6.0804 avg_loss=6.5094 acc1=3.12
train step=1500 loss=5.9682 avg_loss=6.5021 acc1=9.38
train step=1520 loss=5.9007 avg_loss=6.4946 acc1=10.94
train step=1540 loss=5.9948 avg_loss=6.4875 acc1=4.69
train step=1560 loss=5.8722 avg_loss=6.4802 acc1=0.00
train step=1580 loss=5.9196 avg_loss=6.4728 acc1=7.81
train step=1600 loss=5.8807 avg_loss=6.4656 acc1=7.81
train step=1620 loss=5.8673 avg_loss=6.4584 acc1=4.69
train step=1640 loss=5.9723 avg_loss=6.4516 acc1=7.81
train step=1660 loss=5.7872 avg_loss=6.4441 acc1=4.69
train step=1680 loss=5.9512 avg_loss=6.4373 acc1=3.12
train step=1700 loss=5.9459 avg_loss=6.4303 acc1=3.12
train step=1720 loss=5.8649 avg_loss=6.4228 acc1=7.81
train step=1740 loss=5.6371 avg_loss=6.4153 acc1=6.25
train step=1760 loss=5.5962 avg_loss=6.4076 acc1=7.81
train step=1780 loss=5.8981 avg_loss=6.4005 acc1=7.81
train step=1800 loss=5.8315 avg_loss=6.3930 acc1=3.12
train step=1820 loss=5.8167 avg_loss=6.3859 acc1=1.56
train step=1840 loss=5.6908 avg_loss=6.3790 acc1=6.25
train step=1860 loss=5.6032 avg_loss=6.3715 acc1=3.12
train step=1880 loss=5.5610 avg_loss=6.3639 acc1=12.50
train step=1900 loss=5.7483 avg_loss=6.3567 acc1=3.12
train step=1920 loss=5.6976 avg_loss=6.3496 acc1=1.56
train step=1940 loss=5.6134 avg_loss=6.3428 acc1=12.50
train step=1960 loss=5.6304 avg_loss=6.3353 acc1=3.12
train step=1980 loss=5.7612 avg_loss=6.3287 acc1=4.69
train step=2000 loss=5.5936 avg_loss=6.3215 acc1=7.81
train step=2020 loss=5.5182 avg_loss=6.3140 acc1=6.25
train step=2040 loss=5.5242 avg_loss=6.3069 acc1=9.38
train step=2060 loss=5.6100 avg_loss=6.2995 acc1=6.25
train step=2080 loss=5.4375 avg_loss=6.2922 acc1=7.81
train step=2100 loss=5.7062 avg_loss=6.2851 acc1=6.25
train step=2120 loss=5.6188 avg_loss=6.2773 acc1=6.25
train step=2140 loss=5.4773 avg_loss=6.2698 acc1=1.56
train step=2160 loss=5.5838 avg_loss=6.2628 acc1=6.25
train step=2180 loss=5.4993 avg_loss=6.2558 acc1=4.69
train step=2200 loss=5.2505 avg_loss=6.2488 acc1=7.81
train step=2220 loss=5.4218 avg_loss=6.2414 acc1=7.81
train step=2240 loss=5.1689 avg_loss=6.2336 acc1=10.94
train step=2260 loss=5.2953 avg_loss=6.2268 acc1=6.25
train step=2280 loss=5.2139 avg_loss=6.2193 acc1=12.50
train step=2300 loss=5.4231 avg_loss=6.2121 acc1=10.94
train step=2320 loss=5.3440 avg_loss=6.2048 acc1=6.25
train step=2340 loss=5.2748 avg_loss=6.1974 acc1=10.94
train step=2360 loss=5.3782 avg_loss=6.1905 acc1=7.81
train step=2380 loss=5.5358 avg_loss=6.1831 acc1=4.69
train step=2400 loss=5.2046 avg_loss=6.1760 acc1=17.19
train step=2420 loss=5.2947 avg_loss=6.1688 acc1=1.56
train step=2440 loss=5.1477 avg_loss=6.1616 acc1=10.94
train step=2460 loss=5.2354 avg_loss=6.1540 acc1=10.94
train step=2480 loss=5.4702 avg_loss=6.1474 acc1=10.94
train step=2500 loss=5.2014 avg_loss=6.1402 acc1=12.50
train step=2520 loss=5.0242 avg_loss=6.1328 acc1=9.38
train step=2540 loss=5.2242 avg_loss=6.1257 acc1=18.75
train step=2560 loss=5.1312 avg_loss=6.1187 acc1=10.94
train step=2580 loss=5.3135 avg_loss=6.1119 acc1=9.38
train step=2600 loss=5.0296 avg_loss=6.1046 acc1=17.19
train step=2620 loss=5.0617 avg_loss=6.0969 acc1=10.94
train step=2640 loss=5.0164 avg_loss=6.0897 acc1=14.06
train step=2660 loss=5.0513 avg_loss=6.0822 acc1=14.06
train step=2680 loss=4.9733 avg_loss=6.0747 acc1=4.69
train step=2700 loss=5.0078 avg_loss=6.0674 acc1=14.06
train step=2720 loss=5.1520 avg_loss=6.0603 acc1=7.81
train step=2740 loss=4.8468 avg_loss=6.0530 acc1=12.50
train step=2760 loss=4.9984 avg_loss=6.0460 acc1=7.81
train step=2780 loss=5.0377 avg_loss=6.0391 acc1=17.19
train step=2800 loss=5.2329 avg_loss=6.0321 acc1=14.06
train step=2820 loss=5.2021 avg_loss=6.0253 acc1=7.81
train step=2840 loss=5.1317 avg_loss=6.0186 acc1=9.38
train step=2860 loss=5.0457 avg_loss=6.0116 acc1=10.94
