Namespace(method='qvit_lsq_qsam_sam', variant='B_32', nbits=4, data_path='/workspace/AOQ-main/AO_QAT/data', download=False, input_size=224, epochs=100, batch_size=64, workers=8, lr=0.0005, min_lr=1e-05, weight_decay=0.05, device='cuda', seed=42, output_dir='/workspace/AOQ-main/runs/google_vit_cifar100_qvit_lsq_qsam_sam_rho025_wu5_20260716_144000', finetune='auto', no_finetune=False, qsam_ratio=0.001, qsam_rho=0.25, qsam_warmup_epochs=5, debug_train_batches=0, debug_val_batches=0, print_freq=20)
[google-vit] source repo: /workspace/AOQ-main/third_party/vision_transformer
[qat] method=QViT-LSQ nbits=4 qsam=True loop=two_pass
[finetune] init from https://github.com/rwightman/pytorch-image-models/releases/download/v0.1-vitjx/jx_vit_base_patch32_224_in21k-8db57226.pth
[finetune] missing (542): ['patch_embed.proj.alpha', 'patch_embed.proj.init_state', 'patch_embed.proj.act.alpha', 'patch_embed.proj.act.zero_point', 'patch_embed.proj.act.init_state', 'patch_embed.proj.act.signed', 'blocks.0.attn.norm_q.weight', 'blocks.0.attn.norm_q.bias', 'blocks.0.attn.norm_k.weight', 'blocks.0.attn.norm_k.bias', 'blocks.0.attn.qkv.alpha', 'blocks.0.attn.qkv.init_state']
[finetune] unexpected (2): ['pre_logits.fc.bias', 'pre_logits.fc.weight']
train step=700 loss=2.5145 avg_loss=2.9012 acc1=39.06
train step=720 loss=2.6275 avg_loss=2.8926 acc1=34.38
train step=740 loss=2.3714 avg_loss=2.8838 acc1=42.19
train step=760 loss=2.5808 avg_loss=2.8747 acc1=43.75
train step=780 loss=2.6082 avg_loss=2.8667 acc1=35.94
epoch=1 train_acc1=35.117 val_acc1=63.200 val_acc5=91.550 best=63.200
train step=0 loss=2.5961 avg_loss=2.5961 acc1=46.88
train step=20 loss=2.5238 avg_loss=2.4683 acc1=29.69
train step=40 loss=2.5162 avg_loss=2.4661 acc1=39.06
train step=60 loss=2.2692 avg_loss=2.4681 acc1=45.31
train step=80 loss=2.3474 avg_loss=2.4562 acc1=43.75
train step=100 loss=2.7940 avg_loss=2.4575 acc1=39.06
train step=120 loss=2.5835 avg_loss=2.4491 acc1=42.19
train step=140 loss=2.4285 avg_loss=2.4462 acc1=40.62
train step=160 loss=2.2578 avg_loss=2.4415 acc1=46.88
train step=180 loss=2.5875 avg_loss=2.4372 acc1=39.06
train step=200 loss=2.3980 avg_loss=2.4341 acc1=40.62
train step=220 loss=2.2124 avg_loss=2.4254 acc1=43.75
train step=240 loss=2.3872 avg_loss=2.4202 acc1=43.75
train step=260 loss=2.2185 avg_loss=2.4195 acc1=43.75
train step=280 loss=2.2834 avg_loss=2.4134 acc1=48.44
train step=300 loss=2.1257 avg_loss=2.4110 acc1=51.56
train step=320 loss=2.2629 avg_loss=2.4028 acc1=45.31
train step=340 loss=2.2584 avg_loss=2.3937 acc1=40.62
train step=360 loss=2.4255 avg_loss=2.3879 acc1=37.50
train step=380 loss=2.6152 avg_loss=2.3851 acc1=37.50
train step=400 loss=2.2530 avg_loss=2.3802 acc1=45.31
train step=420 loss=2.0182 avg_loss=2.3708 acc1=53.12
train step=440 loss=2.1791 avg_loss=2.3633 acc1=51.56
train step=460 loss=2.0816 avg_loss=2.3584 acc1=48.44
train step=480 loss=2.2211 avg_loss=2.3518 acc1=46.88
train step=500 loss=2.4862 avg_loss=2.3481 acc1=39.06
train step=520 loss=2.3476 avg_loss=2.3421 acc1=40.62
train step=540 loss=2.0813 avg_loss=2.3373 acc1=51.56
train step=560 loss=2.1402 avg_loss=2.3323 acc1=42.19
train step=580 loss=2.2779 avg_loss=2.3272 acc1=42.19
train step=600 loss=2.3602 avg_loss=2.3233 acc1=45.31
train step=620 loss=2.3093 avg_loss=2.3187 acc1=48.44
train step=640 loss=2.0788 avg_loss=2.3121 acc1=48.44
train step=660 loss=1.8218 avg_loss=2.3072 acc1=59.38
train step=680 loss=1.9089 avg_loss=2.3017 acc1=59.38
train step=700 loss=1.9899 avg_loss=2.2975 acc1=46.88
train step=720 loss=1.7345 avg_loss=2.2938 acc1=59.38
train step=740 loss=2.1229 avg_loss=2.2908 acc1=45.31
train step=760 loss=1.9449 avg_loss=2.2879 acc1=50.00
train step=780 loss=2.2830 avg_loss=2.2826 acc1=40.62
epoch=2 train_acc1=45.449 val_acc1=72.680 val_acc5=94.880 best=72.680
train step=0 loss=2.2367 avg_loss=2.2367 acc1=45.31
train step=20 loss=2.1729 avg_loss=2.1747 acc1=57.81
train step=40 loss=1.9642 avg_loss=2.0930 acc1=50.00
train step=60 loss=2.1321 avg_loss=2.0631 acc1=45.31
train step=80 loss=2.2665 avg_loss=2.0596 acc1=43.75
train step=100 loss=2.0850 avg_loss=2.0464 acc1=51.56
train step=120 loss=1.8757 avg_loss=2.0495 acc1=51.56
train step=140 loss=2.2188 avg_loss=2.0566 acc1=40.62
train step=160 loss=1.6939 avg_loss=2.0421 acc1=59.38
train step=180 loss=1.9434 avg_loss=2.0355 acc1=54.69
